date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:17	2291626/2291626	---M--	200	added ('OK')	image/jpeg	etag:%2222f7aa-615f6cb1ecbf6%22	https://shreethemes.in/landrick/landing/assets/images/logistics/01.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/logistics/01.jpg	(from https://shreethemes.in/landrick/landing/index-logistics.html)
17:54:18	191761/191761	---M--	200	added ('OK')	image/svg+xml	etag:%222ed11-615f6cb2265db%22	https://shreethemes.in/landrick/landing/assets/images/svg-map.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/svg-map.svg	(from https://shreethemes.in/landrick/landing/index-logistics.html)
17:54:19	1397003/1397003	---M--	200	added ('OK')	image/jpeg	etag:%2215510b-615f6cb1eeb36%22	https://shreethemes.in/landrick/landing/assets/images/logistics/03.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/logistics/03.jpg	(from https://shreethemes.in/landrick/landing/index-logistics.html)
17:54:21	652162/652162	---M--	200	added ('OK')	image/png	etag:%229f382-615f6cb1efad6%22	https://shreethemes.in/landrick/landing/assets/images/logistics/about.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/logistics/about.png	(from https://shreethemes.in/landrick/landing/index-logistics.html)
17:54:21	572993/572993	---M--	200	added ('OK')	image/jpeg	etag:%228be41-615f6cb1efad6%22	https://shreethemes.in/landrick/landing/assets/images/logistics/blog01.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/logistics/blog01.jpg	(from https://shreethemes.in/landrick/landing/index-logistics.html)
17:54:23	2210445/2210445	---M--	200	added ('OK')	image/jpeg	etag:%2221ba8d-615f6cb1f1a16%22	https://shreethemes.in/landrick/landing/assets/images/logistics/cta.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/logistics/cta.jpg	(from https://shreethemes.in/landrick/landing/index-logistics.html)
17:54:23	324302/324302	---M--	200	added ('OK')	image/jpeg	etag:%224f2ce-615f6cb1f0a76%22	https://shreethemes.in/landrick/landing/assets/images/logistics/blog03.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/logistics/blog03.jpg	(from https://shreethemes.in/landrick/landing/index-logistics.html)
17:54:23	261834/261834	---M--	200	added ('OK')	image/jpeg	etag:%223feca-615f6cb1f0a76%22	https://shreethemes.in/landrick/landing/assets/images/logistics/blog02.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/logistics/blog02.jpg	(from https://shreethemes.in/landrick/landing/index-logistics.html)
17:54:24	130427/130427	---M--	200	added ('OK')	image/png	etag:%221fd7b-615f6cb22275b%22	https://shreethemes.in/landrick/landing/assets/images/social/1.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/social/1.png	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:25	4498/4498	---M--	200	added ('OK')	image/svg+xml	etag:%221192-615f6cb1e2015%22	https://shreethemes.in/landrick/landing/assets/images/illustrator/social.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/illustrator/social.svg	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:26	2864/2864	---M--	200	added ('OK')	image/svg+xml	etag:%22b30-615f6cb1a47af%22	https://shreethemes.in/landrick/landing/assets/images/client/facebook.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/client/facebook.svg	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:27	638509/638509	---M--	200	added ('OK')	image/png	etag:%229be2d-615f6cb2236fb%22	https://shreethemes.in/landrick/landing/assets/images/social/hero.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/social/hero.png	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:27	6265/6265	---M--	200	added ('OK')	image/svg+xml	etag:%221879-615f6cb1a47af%22	https://shreethemes.in/landrick/landing/assets/images/client/instagram.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/client/instagram.svg	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:28	6535/6535	---M--	200	added ('OK')	image/svg+xml	etag:%221987-615f6cb1a47af%22	https://shreethemes.in/landrick/landing/assets/images/client/tinder.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/client/tinder.svg	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:29	7928/7928	---M--	200	added ('OK')	image/svg+xml	etag:%221ef8-615f6cb1a47af%22	https://shreethemes.in/landrick/landing/assets/images/client/whatsapp.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/client/whatsapp.svg	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:30	8576/8576	---M--	200	added ('OK')	image/svg+xml	etag:%222180-615f6cb1a47af%22	https://shreethemes.in/landrick/landing/assets/images/client/dribbble.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/client/dribbble.svg	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:31	34666/34666	---M--	200	added ('OK')	image/svg+xml	etag:%22876a-615f6cb2236fb%22	https://shreethemes.in/landrick/landing/assets/images/social/social.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/social/social.svg	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:33	210358/210358	---M--	200	added ('OK')	image/png	etag:%22335b6-615f6cb22275b%22	https://shreethemes.in/landrick/landing/assets/images/social/download.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/social/download.png	(from https://shreethemes.in/landrick/landing/index-social-marketing.html)
17:54:34	30352/30352	---M--	200	added ('OK')	image/png	etag:%227690-615f6cb1b9f71%22	https://shreethemes.in/landrick/landing/assets/images/digital/home-bg.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/digital/home-bg.png	(from https://shreethemes.in/landrick/landing/index-digital-agency.html)
17:54:36	148955/148955	---M--	200	added ('OK')	image/png	etag:%22245db-615f6cb1b9f71%22	https://shreethemes.in/landrick/landing/assets/images/digital/1.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/digital/1.png	(from https://shreethemes.in/landrick/landing/index-digital-agency.html)
17:54:36	1811261/1811261	---M--	200	added ('OK')	image/gif	etag:%221ba33d-615f6cb1bce51%22	https://shreethemes.in/landrick/landing/assets/images/digital/seo.gif	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/digital/seo.gif	(from https://shreethemes.in/landrick/landing/index-digital-agency.html)
